a52dec 0.7.4-10
acl 2.2.53-1
acpi 1.7-2
adobe-source-code-pro-fonts 2.030ro+1.050it-4
adwaita-icon-theme 3.30.1-1
aircrack-ng 1.5.2-1
alsa-lib 1.1.8-1
alsa-utils 1.1.8-1
aom 1.0.0-1
archlinux-keyring 20190123-1
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.28.0-1
attr 2.4.48-1
audit 2.8.4-2
autoconf 2.69-5
autogen 5.18.12-3
automake 1.16.1-1
avahi 0.7+18+g1b5f401-1
bash 5.0.0-1
bc 1.07.1-3
bind-tools 9.13.5-4
binutils 2.31.1-4
binwalk 2.1.1-5
bison 3.2-1
blas 3.8.0-2
bluez-libs 5.50-6
boost-libs 1.69.0-1
bridge-utils 1.6-3
bspwm 0.9.5-1
btrfs-progs 4.19.1-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.41-1
ca-certificates-utils 20181109-1
cairo 1.16.0-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
capstone 4.0.1-1
cblas 3.8.0-2
cdparanoia 10.2-7
celt 0.11.3-3
chmlib 0.40-5
chromaprint 1.4.3-2
cifs-utils 6.8-2
clang 7.0.1-1
cmake 3.13.3-1
cmus 2.7.1-9
code 1.30.2-1
colord 1.4.3-2
compiler-rt 7.0.1-1
coreutils 8.30-1
cracklib 2.9.6-3
crypto++ 7.0.0-1
cryptsetup 2.0.6-1
curl 7.63.0-4
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dcadec 0.2.0-1
dconf 0.30.1-1
deluge 1.3.15+14+gb8e5ebe82-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.183-2
devil 1.8.0-3
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.7-1
ding-libs 0.6.1-2
discord 0.0.8-2
dkms 2.5-4
dmenu 4.8-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-4
dos2unix 7.4.0-1
dosfstools 4.1-2
dotconf 1.3-5
double-conversion 3.1.1-1
doxygen 1.8.15-1
e2fsprogs 1.44.5-1
electron2 2.0.16-1
elfutils 0.175-1
enca 1.19-2
enchant 2.2.3-2
ethtool 1:4.19-1
expac 9-1
expat 2.2.6-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
feh 3.1.1-1
ffmpeg 1:4.1-1
fftw 3.3.8-1
file 5.35-1
filesystem 2018.12-2
findutils 4.6.0-4
firefox 64.0.2-1
flac 1.3.2-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.4.1-1
fuse2 2.9.9-1
gamin 0.1.10-9
gawk 4.2.1-2
gc 7.6.8-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.0-1
gedit 3.30.2-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
ghostscript 9.26-2
giblib 1.2.4-7
giflib 5.1.4-2
git 2.20.1-1
glew 2.1.0-1
glib-networking 2.58.0-1
glib2 2.58.3-1
glib2-docs 2.58.3-1
glibc 2.28-5
glibmm 2.56.0-1
glslang 7.10.2984-1
glu 9.0.0-5
gmp 6.1.2-2
gnu-netcat 0.7.1-7
gnupg 2.2.12-2
gnutls 3.6.5-4
go 2:1.11.5-1
gobject-introspection-runtime 1.58.3-1
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.13-1
graphviz 2.40.1-14
grep 3.3-1
groff 1.22.3-8
grub 2:2.02-8
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-2
gsm 1.0.18-1
gspell 1.8.1-1
gssdp 1.0.3-1
gssproxy 0.8.0-1
gst-plugins-bad 1.14.4-5
gst-plugins-base 1.14.4-1
gst-plugins-base-libs 1.14.4-1
gstreamer 1.14.4-1
gtk-doc 1.29-1
gtk-sharp-2 2.12.45-1
gtk-update-icon-cache 3.24.4-1
gtk2 2.24.32-1
gtk3 3.24.4-1
gtkglext 1.2.0-11
gtkglextmm 1.2.0-11
gtkmm 1:2.24.5-3
gtksourceview3 3.24.9-2
gts 0.7.6-5
guile 2.2.4-2
guile2.0 2.0.14-3
gupnp 1.0.3-1
gupnp-igd 0.2.5-1
gvfs 1.38.1+8+ge4eec2bc-1
gzip 1.10-1
harfbuzz 2.3.0-1
hdf5 1.10.4-1
hicolor-icon-theme 0.17-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.0-1
hunspell 1.7.0-2
hunspell-en_AU 2018.04.16-5
hunspell-en_CA 2018.04.16-5
hunspell-en_GB 2018.04.16-5
hunspell-en_US 2018.04.16-5
hwids 20180917-1
hyphen 2.8.8-2
i3lock 2.11.1-1
iana-etc 20181219-1
icu 63.1-2
idnkit 1.0-4
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.24-1
imlib2 1.5.1-1
inetutils 1.9.4-7
intltool 0.51.0-4
iproute2 4.20.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-3
iso-codes 4.1-1
iw 4.14-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.14-1
jbig2dec 0.15-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
js 24.2.0-4
js17 17.0.0-3
js52 52.9.0-2
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kbd 2.0.4-2
keyutils 1.6-1
kmod 25-1
krb5 1.16.1-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms 1.19-7
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
lemonbar-xft-git 268.043ad47-1
less 530-1
lib32-acl 2.2.53-1
lib32-alsa-lib 1.1.8-1
lib32-attr 2.4.48-1
lib32-db 5.3.28-4
lib32-flac 1.3.2-2
lib32-gcc-libs 8.2.1+20181127-1
lib32-glibc 2.28-5
lib32-jack 0.125.0-2
lib32-libcap 2.25-2
lib32-libgcrypt 1.8.4-1
lib32-libgpg-error 1.34-1
lib32-libidn 1.35-1
lib32-libogg 1.3.3-2
lib32-libsamplerate 0.1.9-2
lib32-libsndfile 1.0.28-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libvorbis 1.3.6-1
lib32-ncurses 6.1-4
lib32-portaudio 190600_20161030-2
lib32-readline 8.0.0-1
lib32-systemd 240.34-1
lib32-xz 5.2.4-1
libaec 1.0.2-1
libaio 0.3.111-2
libao 1.2.2-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.2-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.8-1
libavc1394 0.5.4-3
libblockdev 2.20-1
libbluray 1.0.2-2
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 1.4-1
libc++ 7.0.1-2
libc++abi 7.0.1-2
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcap 2.26-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcroco 0.6.12+4+g9ad7287-2
libcue 2.2.1-1
libcups 2.2.10-2
libdaemon 0.14-4
libdatrie 0.2.12-1
libdc1394 2.2.5-2
libdca 0.0.6-1
libdiscid 0.6.2-2
libdmx 1.1.4-1
libdnet 1.12-10
libdrm 2.4.97-1
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libebml 1.3.6-1
libedit 20181209_3.1-1
libelf 0.175-1
libepoxy 1.5.3-1
libev 4.24-2
libevdev 1.6.0-1
libevent 2.1.8-2
libexif 0.6.21-3
libfdk-aac 2.0.0-1
libffi 3.2.1-3
libfm 1.3.1-1
libfm-extra 1.3.1-1
libfm-gtk2 1.3.1-1
libfontenc 1.1.3-2
libgcrypt 1.8.4-1
libgdiplus 5.6-1
libglade 2.6.4-6
libglvnd 1.1.0-1
libgme 0.6.2-1
libgnome-keyring 3.12.0-3
libgpg-error 1.34-1
libgudev 232-1
libguess 1.2-2
libgusb 0.3.0-1
libibus 1.5.19-1
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.1.0-1
libiec61883 1.2.0-5
libimagequant 2.12.2-1
libinput 1.12.6-1
libjpeg-turbo 2.0.1-1
libkate 0.4.1-6
libkeybinder2 0.3.1-2
libkeybinder3 0.3.2-2
libksba 1.3.5-1
libldap 2.4.47-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick 7.0.8.24-1
libmatroska 1.4.9-1
libmaxminddb 1.3.2-1
libmediainfo 18.12-1
libmikmod 3.3.11.1-2
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpeg2 0.5.1-6
libmtp 1.1.16-1
libnetfilter_conntrack 1.0.7-1
libnfnetlink 1.0.1-3
libnftnl 1.1.1-1
libnghttp2 1.35.1-1
libnice 0.1.15-1
libnl 3.4.0-1
libnm 1.14.5dev+17+gba83251bb-2
libnm-glib 1.14.5dev+17+gba83251bb-2
libnotify 0.7.7-2
libnsl 1.2.0-1
libofa 0.9.3-8
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.14-1
libpeas 1.22.0-3
libpipeline 1.5.0-1
libplacebo 1.7.0-1
libpng 1.6.36-1
libproxy 0.4.15-8
libpsl 0.20.2-3
libpulse 12.2-2
libraqm 0.5.0-1
libraw1394 2.1.2-2
librsvg 2:2.44.12-1
libsamplerate 0.1.9-2
libsasl 2.1.26-16
libseccomp 2.3.3-1
libsecret 0.18.7-1
libshout 1:2.4.1-4
libsigc++ 2.10.1-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.17-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libspeechd 0.8.8-3
libsrtp 1:2.2.0-1
libssh 0.8.6-1
libssh2 1.8.0-3
libsystemd 240.34-3
libtar 1.2.20-4
libtasn1 4.13-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
